,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,APSRTC - 2673,Super Luxury (Non AC Seater 2+2 Push Back),00:15,05:10,04h 55m,INR 469,29 Seats available,"3.2
14",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
1,APSRTC - 37800,INDRA(A.C. Seater),00:15,05:45,05h 30m,INR 567,34 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
2,APSRTC - 24255,INDRA(A.C. Seater),00:20,04:40,04h 20m,INR 528,23 Seats available,"1.5
4",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
3,APSRTC - 2572,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),00:30,06:25,05h 55m,INR 720,34 Seats available,"5.0
16",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
4,APSRTC - 2677,NIGHT RIDER (SEATER CUM SLEEPER),00:40,06:15,05h 35m,INR 639,22 Seats available,"3.4
7",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
5,APSRTC - 4919,INDRA(A.C. Seater),00:45,05:50,05h 05m,INR 567,34 Seats available,"1.1
4",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
6,APSRTC - 2777,INDRA(A.C. Seater),00:45,06:55,06h 10m,INR 567,33 Seats available,"2.9
7",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
7,APSRTC - 2574,NIGHT RIDER (SEATER CUM SLEEPER),01:15,06:30,05h 15m,INR 576,36 Seats available,"4.1
6",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
8,APSRTC - 2687,Super Luxury (Non AC Seater 2+2 Push Back),01:15,06:00,04h 45m,INR 469,29 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
9,APSRTC - 3499,Super Luxury (Non AC Seater 2+2 Push Back),01:45,08:40,06h 55m,INR 469,32 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
10,APSRTC - 2560,INDRA(A.C. Seater),02:00,06:15,04h 15m,INR 528,13 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
11,APSRTC - 2675,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),02:15,08:05,05h 50m,INR 720,39 Seats available,"4.5
10",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
12,APSRTC - 3365,Super Luxury (Non AC Seater 2+2 Push Back),02:25,09:10,06h 45m,INR 469,31 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
13,APSRTC - 2548,NIGHT RIDER (SEATER CUM SLEEPER),02:30,07:25,04h 55m,INR 595,29 Seats available,"4.4
6",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
14,APSRTC - 3357,Super Luxury (Non AC Seater 2+2 Push Back),03:25,10:30,07h 05m,INR 469,33 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
15,APSRTC - 3359,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),03:30,08:54,05h 24m,INR 720,43 Seats available,"4.6
23",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
16,APSRTC - 35105,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),04:30,10:45,06h 15m,INR 683,43 Seats available,"4.1
109",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
17,APSRTC - 9362,Super Luxury (Non AC Seater 2+2 Push Back),04:45,11:40,06h 55m,INR 414,33 Seats available,"3.5
12",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
18,APSRTC - 3517,Super Luxury (Non AC Seater 2+2 Push Back),05:30,12:10,06h 40m,INR 414,33 Seats available,"4.0
9",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
19,APSRTC - 3565,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),05:30,11:25,05h 55m,INR 683,48 Seats available,"4.1
80",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
20,APSRTC - 3567,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),06:30,12:30,06h 00m,INR 683,47 Seats available,"4.6
100",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
21,APSRTC - 9364,Super Luxury (Non AC Seater 2+2 Push Back),06:45,15:05,08h 20m,INR 446,33 Seats available,"3.5
13",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
22,APSRTC - 3589,Super Luxury (Non AC Seater 2+2 Push Back),07:15,15:40,08h 25m,INR 446,33 Seats available,"4.3
11",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
23,APSRTC - 3581,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),07:45,13:35,05h 50m,INR 683,43 Seats available,"4.3
84",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
24,APSRTC - 1446,Super Luxury (Non AC Seater 2+2 Push Back),08:00,14:40,06h 40m,INR 446,33 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
25,APSRTC - 3882,Super Luxury (Non AC Seater 2+2 Push Back),08:30,15:35,07h 05m,INR 446,31 Seats available,"3.8
11",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
26,APSRTC - 3593,Super Luxury (Non AC Seater 2+2 Push Back),08:45,17:10,08h 25m,INR 446,33 Seats available,"2.3
4",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
27,APSRTC - 35119,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),09:30,15:45,06h 15m,INR 683,44 Seats available,"4.3
59",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
28,APSRTC - 9310,Super Luxury (Non AC Seater 2+2 Push Back),10:15,16:50,06h 35m,INR 414,33 Seats available,"3.9
6",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
29,APSRTC - 3543,Super Luxury (Non AC Seater 2+2 Push Back),10:15,17:20,07h 05m,INR 444,33 Seats available,"4.0
16",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
30,APSRTC - 23700,Super Luxury (Non AC Seater 2+2 Push Back),10:15,15:50,05h 35m,INR 436,29 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
31,APSRTC - 3657,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),10:30,16:25,05h 55m,INR 683,44 Seats available,"3.9
108",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
32,APSRTC - 3513,Super Luxury (Non AC Seater 2+2 Push Back),10:39,19:45,09h 06m,INR 446,33 Seats available,"2.1
6",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
33,APSRTC - 9400,Super Luxury (Non AC Seater 2+2 Push Back),10:45,17:30,06h 45m,INR 446,34 Seats available,"4.8
4",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
34,APSRTC - 3858,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),11:30,16:30,05h 00m,INR 633,48 Seats available,"3.6
44",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
35,APSRTC - 9356,Super Luxury (Non AC Seater 2+2 Push Back),11:30,18:05,06h 35m,INR 446,34 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
36,APSRTC - 3601,Super Luxury (Non AC Seater 2+2 Push Back),12:00,20:20,08h 20m,INR 446,33 Seats available,"2.5
6",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
37,APSRTC - 35269,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:15,18:25,06h 10m,INR 683,44 Seats available,"3.4
70",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
38,APSRTC - 3515,Super Luxury (Non AC Seater 2+2 Push Back),12:30,20:05,07h 35m,INR 446,33 Seats available,"2.0
13",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
39,APSRTC - 2456,INDRA(A.C. Seater),12:30,17:30,05h 00m,INR 528,6 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
40,APSRTC - 3562,Super Luxury (Non AC Seater 2+2 Push Back),12:45,19:25,06h 40m,INR 414,33 Seats available,"2.7
8",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
41,APSRTC - 3823,Super Luxury (Non AC Seater 2+2 Push Back),12:45,19:43,06h 58m,INR 444,34 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
42,APSRTC - 35117,INDRA(A.C. Seater),13:00,19:09,06h 09m,INR 538,31 Seats available,"3.7
36",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
43,APSRTC - 3549,Super Luxury (Non AC Seater 2+2 Push Back),13:15,20:00,06h 45m,INR 414,33 Seats available,"4.5
11",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
44,APSRTC - 21228,Super Luxury (Non AC Seater 2+2 Push Back),13:30,18:30,05h 00m,INR 436,26 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
45,APSRTC - 23879,Super Luxury (Non AC Seater 2+2 Push Back),13:50,18:50,05h 00m,INR 436,12 Seats available,"3.4
7",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
46,APSRTC - 3571,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),14:00,20:04,06h 04m,INR 683,47 Seats available,"4.0
92",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
47,APSRTC - 3825,Super Luxury (Non AC Seater 2+2 Push Back),14:00,20:40,06h 40m,INR 444,33 Seats available,"2.8
4",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
48,APSRTC - 4052,Super Luxury (Non AC Seater 2+2 Push Back),14:00,20:40,06h 40m,INR 414,33 Seats available,"4.8
12",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
49,APSRTC - 3583,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),14:30,20:30,06h 00m,INR 683,44 Seats available,"3.8
115",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
50,APSRTC - 3886,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),15:00,20:00,05h 00m,INR 633,47 Seats available,"4.1
65",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
51,APSRTC - 3525,Super Luxury (Non AC Seater 2+2 Push Back),15:00,23:00,08h 00m,INR 446,33 Seats available,"4.0
9",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
52,APSRTC - 99611,Super Luxury (Non AC Seater 2+2 Push Back),15:20,19:50,04h 30m,INR 436,29 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
53,APSRTC - 3573,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),15:30,21:25,05h 55m,INR 683,44 Seats available,"4.0
115",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
54,APSRTC - 35271,INDRA(A.C. Seater),16:00,21:50,05h 50m,INR 538,35 Seats available,"3.1
78",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
55,APSRTC - 35133,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:00,22:50,05h 50m,INR 683,45 Seats available,"3.5
82",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
56,APSRTC - 24251,INDRA(A.C. Seater),17:00,21:55,04h 55m,INR 528,9 Seats available,"3.5
8",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
57,APSRTC - 35135,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:45,23:37,05h 52m,INR 683,44 Seats available,"4.4
81",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
58,APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),18:30,00:30,06h 00m,INR 683,48 Seats available,"3.9
71",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
59,APSRTC - 3613,Super Luxury (Non AC Seater 2+2 Push Back),19:00,02:42,07h 42m,INR 446,33 Seats available,"3.1
24",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
60,APSRTC - 23507,INDRA(A.C. Seater),19:00,23:00,04h 00m,INR 528,18 Seats available,"2.5
14",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
61,APSRTC - 9316,Super Luxury (Non AC Seater 2+2 Push Back),20:20,04:10,07h 50m,INR 446,31 Seats available,"4.1
53",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
62,APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:30,01:05,04h 35m,INR 633,47 Seats available,"3.8
35",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
63,APSRTC - 4046,Super Luxury (Non AC Seater 2+2 Push Back),21:00,03:40,06h 40m,INR 446,31 Seats available,"4.4
59",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
64,APSRTC - 9651,Super Luxury (Non AC Seater 2+2 Push Back),21:00,04:41,07h 41m,INR 446,28 Seats available,"3.4
8",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
65,APSRTC - 9932,STAR LINER(NON-AC SLEEPER 2+1),21:30,03:45,06h 15m,INR 578,27 Seats available,"4.1
6",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
66,APSRTC - 9654,Super Luxury (Non AC Seater 2+2 Push Back),21:40,05:20,07h 40m,INR 446,29 Seats available,"3.7
17",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
67,APSRTC - 40568,Super Luxury (Non AC Seater 2+2 Push Back),21:42,06:00,08h 18m,INR 446,29 Seats available,"4.7
53",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
68,APSRTC - 3916,Super Luxury (Non AC Seater 2+2 Push Back),21:45,02:50,05h 05m,INR 446,31 Seats available,"4.2
73",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
69,APSRTC - 35179,VENNELA (A.C. SLEEPER),21:45,02:20,04h 35m,INR 737,10 Seats available,"4.6
24",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
70,APSRTC - 95517,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",21:52,04:00,06h 08m,INR 448,1 Seat available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
71,APSRTC - 3908,Super Luxury (Non AC Seater 2+2 Push Back),22:00,04:25,06h 25m,INR 480,31 Seats available,"3.6
86",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
72,APSRTC - 4320,INDRA(A.C. Seater),22:00,04:25,06h 25m,INR 567,36 Seats available,"3.8
25",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
73,APSRTC - 35155,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:00,03:42,05h 42m,INR 683,42 Seats available,"3.9
79",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
74,APSRTC - 4048,Super Luxury (Non AC Seater 2+2 Push Back),22:00,04:20,06h 20m,INR 480,29 Seats available,"4.2
35",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
75,APSRTC - 35118,INDRA(A.C. Seater),22:05,04:50,06h 45m,INR 567,36 Seats available,"3.9
88",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
76,APSRTC - 3970,Super Luxury (Non AC Seater 2+2 Push Back),22:05,05:20,07h 15m,INR 469,27 Seats available,"4.0
23",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
77,APSRTC - 9934,STAR LINER(NON-AC SLEEPER 2+1),22:15,05:30,07h 15m,INR 578,23 Seats available,"4.8
4",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
78,APSRTC - 35265,VENNELA (A.C. SLEEPER),22:15,02:50,04h 35m,INR 737,24 Seats available,"3.5
19",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
79,APSRTC - 3575,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:15,04:40,06h 25m,INR 720,44 Seats available,"3.9
87",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
80,APSRTC - 3635,Super Luxury (Non AC Seater 2+2 Push Back),22:20,04:55,06h 35m,INR 446,27 Seats available,"4.2
66",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
81,APSRTC - 3943,Super Luxury (Non AC Seater 2+2 Push Back),22:25,05:25,07h 00m,INR 446,31 Seats available,"3.6
26",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
82,APSRTC - 35063,Super Luxury (Non AC Seater 2+2 Push Back),22:25,06:10,07h 45m,INR 446,32 Seats available,"4.4
6",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
83,APSRTC - 3633,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:30,04:10,05h 40m,INR 683,42 Seats available,"4.2
159",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
84,APSRTC - 3910,INDRA(A.C. Seater),22:30,03:05,04h 35m,INR 539,37 Seats available,"3.8
64",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
85,APSRTC - 3696,STAR LINER(NON-AC SLEEPER 2+1),22:30,04:25,05h 55m,INR 607,23 Seats available,"4.4
61",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
86,APSRTC - 95660,Super Luxury (Non AC Seater 2+2 Push Back),22:40,05:15,06h 35m,INR 446,25 Seats available,"2.2
4",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
87,APSRTC - 3509,INDRA(A.C. Seater),22:45,04:59,06h 14m,INR 538,37 Seats available,"4.2
81",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
88,APSRTC - 4350,STAR LINER(NON-AC SLEEPER 2+1),22:45,04:16,05h 31m,INR 607,26 Seats available,"4.0
47",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
89,APSRTC - 3609,Super Luxury (Non AC Seater 2+2 Push Back),22:46,06:40,07h 54m,INR 446,31 Seats available,"4.2
42",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
90,APSRTC - 3961,INDRA(A.C. Seater),22:55,05:25,06h 30m,INR 539,34 Seats available,"3.8
38",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
91,APSRTC - 3694,Super Luxury (Non AC Seater 2+2 Push Back),22:55,06:15,07h 20m,INR 469,22 Seats available,"4.6
14",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
92,APSRTC - 3692,NIGHT RIDER (SEATER CUM SLEEPER),22:55,05:35,06h 40m,INR 608,36 Seats available,"3.9
66",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
93,APSRTC - 3968,INDRA(A.C. Seater),22:55,05:05,06h 10m,INR 567,34 Seats available,"2.6
9",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
94,APSRTC - 3533,Super Luxury (Non AC Seater 2+2 Push Back),23:00,05:25,06h 25m,INR 414,31 Seats available,"4.0
62",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
95,APSRTC - 3888,VENNELA (A.C. SLEEPER),23:00,03:35,04h 35m,INR 737,20 Seats available,"4.2
53",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
96,APSRTC - 3900,Super Luxury (Non AC Seater 2+2 Push Back),23:00,04:20,05h 20m,INR 444,24 Seats available,"4.4
155",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
97,APSRTC - 3569,INDRA(A.C. Seater),23:00,03:46,04h 46m,INR 538,36 Seats available,"4.1
68",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
98,APSRTC - 4893,Super Luxury (Non AC Seater 2+2 Push Back),23:00,05:20,06h 20m,INR 469,33 Seats available,"4.5
9",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
99,APSRTC - 4790,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:05,05:20,06h 15m,INR 720,43 Seats available,"4.6
37",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
100,APSRTC - 3278,VENNELA (A.C. SLEEPER),23:05,04:25,05h 20m,INR 795,25 Seats available,"3.9
114",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
101,APSRTC - 3976,Super Luxury (Non AC Seater 2+2 Push Back),23:15,05:50,06h 35m,INR 469,27 Seats available,"2.4
6",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
102,APSRTC - 4352,Super Luxury (Non AC Seater 2+2 Push Back),23:15,05:30,06h 15m,INR 469,32 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
103,APSRTC - 2785,Super Luxury (Non AC Seater 2+2 Push Back),23:15,05:07,05h 52m,INR 469,33 Seats available,"2.7
6",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
104,APSRTC - 3690,INDRA(A.C. Seater),23:16,06:00,06h 44m,INR 567,38 Seats available,"3.9
24",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
105,APSRTC - 3951,Super Luxury (Non AC Seater 2+2 Push Back),23:25,06:10,06h 45m,INR 469,25 Seats available,"4.4
29",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
106,APSRTC - 4354,Super Luxury (Non AC Seater 2+2 Push Back),23:30,05:44,06h 14m,INR 469,25 Seats available,"3.9
15",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
107,APSRTC - 4995,INDRA(A.C. Seater),23:30,05:40,06h 10m,INR 567,36 Seats available,"4.4
7",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
108,APSRTC - 3545,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:30,05:35,06h 05m,INR 683,45 Seats available,"4.3
161",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
109,APSRTC - 23702,Super Luxury (Non AC Seater 2+2 Push Back),23:30,04:30,05h 00m,INR 436,29 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
110,APSRTC - 4178,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:40,05:35,05h 55m,INR 685,47 Seats available,"4.3
77",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
111,APSRTC - 4814,Super Luxury (Non AC Seater 2+2 Push Back),23:40,05:10,05h 30m,INR 469,32 Seats available,"4.9
14",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
112,APSRTC - 4369,INDRA(A.C. Seater),23:45,05:44,05h 59m,INR 567,32 Seats available,"3.3
24",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
113,APSRTC - 3057,VENNELA (A.C. SLEEPER),23:45,04:45,05h 00m,INR 737,24 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
114,APSRTC - 3535,VENNELA (A.C. SLEEPER),23:50,05:25,05h 35m,INR 839,26 Seats available,"3.8
39",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
115,APSRTC - 4879,Super Luxury (Non AC Seater 2+2 Push Back),23:55,06:25,06h 30m,INR 469,32 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
116,TSRTC - 9887,RAJDHANI (A.C. Semi Sleeper),00:10,06:20,06h 10m,INR 480,36 Seats available,"3.1
100",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
117,TSRTC - 1424,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),00:20,06:10,05h 50m,INR 480,40 Seats available,"3.7
55",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
118,TSRTC - 31362,RAJDHANI (A.C. Semi Sleeper),00:30,06:00,05h 30m,INR 480,37 Seats available,"3.3
58",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
119,TSRTC - 42162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:10,07:20,06h 10m,INR 396,33 Seats available,"4.2
55",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
120,TSRTC - 30710,RAJDHANI (A.C. Semi Sleeper),01:20,07:00,05h 40m,INR 533,37 Seats available,"4.1
20",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
121,TSRTC - 41510,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:30,07:10,05h 40m,INR 396,33 Seats available,"3.6
20",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
122,TSRTC - 42362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:50,08:00,06h 10m,INR 396,33 Seats available,"4.3
22",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
